ABC,MCMC,SMC
0.100148,1.636038,0.794468
0.101072,1.56169,0.795144
0.101732,1.561974,0.804872
0.100929,1.525724,0.790813
0.100733,1.565635,0.791408
0.101058,1.560111,0.789935
0.101977,1.578067,0.794413
0.102292,1.560992,0.792859
0.102405,1.574771,0.793981
0.101193,1.57021,0.793012
0.102506,1.602477,0.871271
0.10184,1.549356,0.793437
0.101159,1.561332,0.791627
0.10097,1.533285,0.792163
0.101342,1.566806,0.793359
0.101453,1.565414,0.792993
0.101758,1.556019,0.794547
0.101676,1.559571,0.794676
0.102233,1.524,0.795493
0.10095,1.56604,0.791238
0.101007,1.559654,0.787717
0.10103,1.549462,0.874018
0.101443,1.554517,0.793526
0.101842,1.571266,0.792757
0.101504,1.557558,0.789503
0.101582,1.555311,0.794439
0.101255,1.558611,0.788318
0.101868,1.533832,0.819178
0.100352,1.520228,0.819813
0.099669,1.524467,0.823309
0.098583,1.519805,0.78798
0.133123,1.524721,0.79077
0.133504,1.513853,0.859474
0.133692,1.509467,0.789979
0.134479,1.536795,0.789939
0.136064,1.50722,0.793213
0.101115,1.579377,0.789739
0.100594,1.567701,0.788195
0.101015,1.557293,0.790439
0.10113,1.535361,0.790322
0.102396,1.571001,0.7882
0.101297,1.544722,0.791546
0.100903,1.545914,0.792659
0.101331,1.635835,0.789659
0.101579,1.546868,0.790214
0.101278,1.516363,0.821161
0.101941,1.535138,0.82736
0.099491,1.548144,0.792035
0.133671,1.559814,0.789598
0.133906,1.523324,0.794896
0.142176,1.547569,0.791688
0.137073,1.538727,0.791146
0.100934,1.539935,0.796056
0.102035,1.565184,0.792653
0.100992,1.65206,0.791975
0.102421,1.577196,0.791061
0.101179,1.558223,0.798289
0.101773,1.573459,0.791022
0.100549,1.564087,0.789259
0.103369,1.54349,0.827826
0.099457,1.559059,0.793735
0.133688,1.546513,0.791802
0.133096,1.516269,0.788127
0.135689,1.507561,0.785775
0.100548,1.569478,0.792272
0.101194,1.654471,0.792036
0.100928,1.535741,0.792807
0.10048,1.520235,0.789569
0.100612,1.544866,0.792163
0.100606,1.519616,0.79015
0.101074,1.520608,0.825138
0.09774,1.513921,0.790305
0.133516,1.510199,0.791464
0.135838,1.519823,0.795388
0.100898,1.566251,0.792205
0.100183,1.537728,0.795918
0.10153,1.635871,0.79361
0.101869,1.54224,0.798194
0.10238,1.547217,0.790057
0.101571,1.535683,0.830421
0.098213,1.527633,0.795034
0.133233,1.516278,0.791182
0.136496,1.517884,0.794627
0.101147,1.561546,0.793997
0.102398,1.561029,0.793485
0.101187,1.520171,0.793444
0.100935,1.58038,0.791487
0.126559,1.595283,0.827009
0.100571,1.489204,0.788926
0.133553,1.528455,0.794394
0.135096,1.509428,0.789827
0.100417,1.544828,0.790506
0.101522,1.556078,0.791167
0.101483,1.562766,0.794439
0.10132,1.574222,0.79304
0.102121,1.507372,0.823084
0.097828,1.539949,0.791479
0.133041,1.551019,0.872055
0.101414,1.575375,0.791013
0.101173,1.566867,0.796477
0.10146,1.563872,0.792006
0.10129,1.538023,0.790332
0.101255,1.504283,0.823221
0.097587,1.531575,0.790766
0.134053,1.536498,0.792332
0.10099,1.565251,0.790398
0.101315,1.539366,0.793112
0.10116,1.555358,0.791906
0.101185,1.544393,0.868592
0.101188,1.506847,0.791715
0.133896,1.515419,0.789104
0.135818,1.541682,0.789376
0.101107,1.548835,0.792199
0.101184,1.573028,0.793213
